benchmark,size,backend,timestamp,compile_time_seconds,status,error
minimal_points,N: 32,mp_spdz,2026-04-22T12:19:50Z,0.784379,ok,
minimal_points,N: 64,motion,2026-04-22T12:20:00Z,1.012192,ok,
minimal_points,N: 64,mp_spdz,2026-04-22T12:20:08Z,0.781920,ok,
mnist_relu,"16, 2048",motion,2026-04-22T12:20:55Z,0.441214,ok,
mnist_relu,"16, 2048",mp_spdz,2026-04-22T12:21:00Z,0.445308,ok,
mnist_relu,"16, 512",motion,2026-04-22T12:20:49Z,0.181701,ok,
mnist_relu,"16, 512",mp_spdz,2026-04-22T12:20:51Z,0.184384,ok,
psi,"SA: 1024, SB: 1024",motion,2026-04-22T12:21:02Z,0.086525,ok,
psi,"SA: 1024, SB: 1024",mp_spdz,2026-04-22T12:21:03Z,0.094512,ok,
psi,"SA: 128, SB: 128",motion,2026-04-22T12:21:01Z,0.074294,ok,
psi,"SA: 128, SB: 128",mp_spdz,2026-04-22T12:21:02Z,0.084798,ok,
